model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,5807.662,asun|senate,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/22/199182/|https://events.unl.edu/2026/04/22/198768/|https://events.unl.edu/2026/04/22/198888/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/22/199288/,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,2987.855,asun|senate,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/22/199182/|https://events.unl.edu/2026/04/22/198768/|https://events.unl.edu/2026/04/22/198888/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/22/199288/,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,3014.147,asun|senate,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/22/199182/|https://events.unl.edu/2026/04/22/198768/|https://events.unl.edu/2026/04/22/198888/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/22/199288/,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3376.309,asun|senate|meeting|gathering|forum|congress|legislation|government|policy|debate|discuss|decide,2026-04-01,2026-04-30,18:00,19:30,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/28/198995/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3313.925,asun|senate|meeting|gathering|forum|discuss|debate|vote|legislation|government|politics,2026-04-01,2026-04-30,18:00,19:00,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/23/197456/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3307.778,asun|senate|meeting|gathering|forum|discuss|debate|vote|legislation|government|politics,2026-04-01,2026-04-30,18:00,19:00,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/23/197456/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3333.099,asun|senate|campus|organization|student|government|meeting|gathering|forum|discuss|decide|vote|represent|voice|concerns|issues|interests,,,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/07/15/195611/|https://events.unl.edu/2026/10/21/195612/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/11429017|https://unl.campuslabs.com/engage/event/11429018|https://unl.campuslabs.com/engage/event/11429019|https://unl.campuslabs.com/engage/event/12073192,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3291.665,asun|senate|campus|organization|student|government|meeting|gathering|forum|discuss|decide|vote|represent|voice|concerns|issues|interests,,,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/07/15/195611/|https://events.unl.edu/2026/10/21/195612/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/11429017|https://unl.campuslabs.com/engage/event/11429018|https://unl.campuslabs.com/engage/event/11429019|https://unl.campuslabs.com/engage/event/12073192,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3310.426,asun|senate|campus|organization|student|government|meeting|gathering|forum|discuss|decide|vote|represent|voice|concerns|issues|interests,,,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/07/15/195611/|https://events.unl.edu/2026/10/21/195612/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/11429017|https://unl.campuslabs.com/engage/event/11429018|https://unl.campuslabs.com/engage/event/11429019|https://unl.campuslabs.com/engage/event/12073192,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002A,hey any audience national events on 2026-04-01?,noisy|topic|date,1,0,,3063.293,audience|national,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12362927|https://unl.campuslabs.com/engage/event/12363478|https://unl.campuslabs.com/engage/event/11380667|https://unl.campuslabs.com/engage/event/12416352|https://events.unl.edu/2026/04/22/199205/|https://events.unl.edu/2026/04/30/199207/|https://unl.campuslabs.com/engage/event/12416278,audience|national|theatre,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002A,hey any audience national events on 2026-04-01?,noisy|topic|date,1,0,,2998.775,audience|national,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12362927|https://unl.campuslabs.com/engage/event/12363478|https://unl.campuslabs.com/engage/event/11380667|https://unl.campuslabs.com/engage/event/12416352|https://events.unl.edu/2026/04/22/199205/|https://events.unl.edu/2026/04/30/199207/|https://unl.campuslabs.com/engage/event/12416278,audience|national|theatre,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197180/
