model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001A,events on 2026-03-31 about alcohol drug,date|topic|temporal,1,0,,5870.932,alcohol|drug|party|celebration|recovery|support|group|meeting|session|program|counseling|therapy|addiction|abuse|dependence|substance|awareness|education|prevention|treatment|help|resources,2026-03-31,2026-03-31,,,,alcohol|drug|harm,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001B,alcohol drug on 2026-03-31 after 16:00,date|time|topic|temporal,1,0,,3798.076,alcohol|drug|rehabilitation|treatment|support|group|meeting|session|counseling|therapy|addiction|substance abuse|dependence|abuse|problem|issue,2026-03-31,2026-03-31,16:00,23:59,,alcohol|drug|harm,2026-03-31,2026-03-31,16:00,,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-001C,alcohol drug on 2026-03-31 before 18:00,date|time|topic|temporal,1,0,,3711.675,alcohol|drug|rehabilitation|treatment|support|group|meeting|counseling|therapy|addiction|substance|abuse|dependence,2026-03-31,2026-03-31,00:00,17:59,,alcohol|drug|harm,2026-03-31,2026-03-31,,18:00,https://events.unl.edu/2026/03/31/197209/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002A,events on 2026-03-31 about community conversation,date|topic|temporal,1,0,,3673.047,community|conversation|meeting|gathering|talk|discuss|share|outreach|service|nonprofit|volunteer|participate|engage|listen|learn,2026-03-31,2026-04-30,,,https://unl.campuslabs.com/engage/event/12378605|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/12110573|https://unl.campuslabs.com/engage/event/11929546|https://unl.campuslabs.com/engage/event/12073192|https://unl.campuslabs.com/engage/event/11984960|https://unl.campuslabs.com/engage/event/12033629|https://unl.campuslabs.com/engage/event/12184575,community|conversation|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002B,community conversation on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3445.032,community|conversation|meeting|gathering|talk|discuss|share|network|socialize|get together|exchange ideas|outreach|service,2026-03-31,2026-03-31,17:00,23:59,,community|conversation|caps,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-002C,community conversation on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3335.803,community|conversation|meeting|gathering|talk|discuss|share|network|socialize|get together|exchange ideas,2026-03-31,2026-03-31,09:00,19:00,,community|conversation|caps,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198606/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003A,events on 2026-03-31 about community conversations,date|topic|temporal,1,0,,3642.950,community|conversations|meeting|gathering|talk|discuss|share|listen|forum|panel|workshop|seminar|town hall|open house|neighborhood|local|village|town|city,2026-03-31,2026-03-31,,,,community|conversations|caps,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003B,community conversations on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3476.362,community|conversations|service|outreach|nonprofit|meeting|talk|discuss|share|listen|engage|network,2026-03-31,2026-03-31,17:00,23:59,,community|conversations|caps,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-003C,community conversations on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3354.519,community|conversations|service|outreach|nonprofit|meeting|talk|discuss|share|listen|engage,2026-03-31,2026-03-31,00:00,19:00,,community|conversations|caps,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198547/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004A,events on 2026-03-31 about birthday party,date|topic|temporal,1,0,,3829.589,birthday|party|celebration|anniversary|gift|present|cake|cupcakes|cookies|presents|surprise|fun|games|entertainment|music|dancing|food|drinks|snacks|treats|friends|family|social|gathering,2026-03-31,2026-03-31,,,,birthday|party,2026-03-31,2026-03-31,,,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004B,birthday party on 2026-03-31 after 17:00,date|time|topic|temporal,1,0,,3550.647,party|celebration|gathering|social|fun|friends|family|gifts|cake|presents|surprise|anniversary,2026-03-31,2026-03-31,17:00,23:59,,birthday|party,2026-03-31,2026-03-31,17:00,,https://events.unl.edu/2026/03/31/198728/
ollama:llama3:latest,ollama,llama3:latest,RIG-TMP-004C,birthday party on 2026-03-31 before 19:00,date|time|topic|temporal,1,0,,3567.819,party|celebration|gathering|social|fun|friends|family|gifts|cake|presents|surprise|anniversary,2026-03-31,2026-03-31,09:00,19:00,,birthday|party,2026-03-31,2026-03-31,,19:00,https://events.unl.edu/2026/03/31/198728/
