model_key,provider,model_name,case_id,query,tags,parse_success,timed_out,error,latency_ms,keywords_pred,date_from_pred,date_to_pred,time_from_pred,time_to_pred,predicted_urls,expected_keywords,expected_date_from,expected_date_to,expected_time_from,expected_time_to,expected_relevant_urls
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001A,hey any asun senate events on 2026-04-01?,noisy|topic|date,1,0,,6037.295,asun|senate|meeting|gathering|congressional|legislative|government|politics|public|service|community,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12073192|https://unl.campuslabs.com/engage/event/11984960|https://events.unl.edu/2026/04/22/199243/|https://unl.campuslabs.com/engage/event/11974955|https://unl.campuslabs.com/engage/event/12033629,asun|senate,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001B,need asun senate 2026-04-01 around 18:30,noisy|topic|date|time,1,0,,3340.392,asun|senate|meeting|gathering|congress|legislation|government|policy|debate|discuss|decide,2026-04-01,2026-04-30,18:00,19:30,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12418347|https://unl.campuslabs.com/engage/event/12418348|https://unl.campuslabs.com/engage/event/12033560|https://events.unl.edu/2026/04/28/198995/,asun|senate,2026-04-01,2026-04-01,18:30,20:30,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-001C,LOOKING FOR ASUN SENATE EVENT,noisy|topic,1,0,,3334.634,asun|senate|campus|organization|student|government|meeting|gathering|forum|discuss|decide|vote|represent|voice|concerns|issues|interests,,,,,https://events.unl.edu/2026/04/22/190251/|https://events.unl.edu/2026/04/29/190252/|https://events.unl.edu/2026/07/15/195611/|https://events.unl.edu/2026/10/21/195612/|https://unl.campuslabs.com/engage/event/11977941|https://unl.campuslabs.com/engage/event/12274227|https://unl.campuslabs.com/engage/event/11429017|https://unl.campuslabs.com/engage/event/11429018|https://unl.campuslabs.com/engage/event/11429019|https://unl.campuslabs.com/engage/event/12073192,asun|senate,,,,,https://events.unl.edu/2026/04/01/190248/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002A,hey any audience national events on 2026-04-01?,noisy|topic|date,1,0,,3040.003,audience|national,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/196863/|https://unl.campuslabs.com/engage/event/12052902|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12362927|https://unl.campuslabs.com/engage/event/12363478|https://unl.campuslabs.com/engage/event/11380667|https://unl.campuslabs.com/engage/event/12416352|https://events.unl.edu/2026/04/22/199205/|https://events.unl.edu/2026/04/30/199207/|https://unl.campuslabs.com/engage/event/12416278,audience|national|theatre,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002B,need audience national 2026-04-01 around 19:15,noisy|topic|date|time,1,0,,3837.634,audience|national|meeting|gathering|convention|exhibition|festival|celebration|cultural|social|community|public|people|crowd|masses|group|collective,2026-04-01,2026-04-30,19:00,20:00,https://unl.campuslabs.com/engage/event/12302854|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12418327|https://events.unl.edu/2026/04/24/199185/|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12416352|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/12425477,audience|national|theatre,2026-04-01,2026-04-01,19:15,21:15,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-002C,LOOKING FOR AUDIENCE NATIONAL EVENT,noisy|topic,1,0,,4057.882,audience|national|concert|festival|gathering|meeting|conference|symposium|seminar|workshop|exhibition|fair|trade show|showcase|presentation|panel discussion|keynote speaker|speaker|talk|lecture|forum|summit|roundtable|town hall|community event,2026-04-30,2026-04-30,,,https://unl.campuslabs.com/engage/event/12086998|https://unl.campuslabs.com/engage/event/12004161|https://unl.campuslabs.com/engage/event/12131717|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12173131|https://unl.campuslabs.com/engage/event/12028390|https://unl.campuslabs.com/engage/event/11925238|https://unl.campuslabs.com/engage/event/12080932|https://events.unl.edu/2026/04/30/199207/|https://events.unl.edu/2026/04/30/198813/,audience|national|theatre,,,,,https://events.unl.edu/2026/04/01/197180/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-003A,hey any dma colton events on 2026-04-01?,noisy|topic|date,1,0,,3066.108,colton|dma|hey,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/21/197216/|https://events.unl.edu/2026/04/22/198927/|https://events.unl.edu/2026/04/24/198305/|https://events.unl.edu/2026/04/29/198787/|https://unl.campuslabs.com/engage/event/12396213|https://unl.campuslabs.com/engage/event/12084446|https://unl.campuslabs.com/engage/event/11429017|https://unl.campuslabs.com/engage/event/12408460|https://unl.campuslabs.com/engage/event/11429018,dma|colton|schaefer,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/197709/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-003B,need dma colton 2026-04-01 around 19:30,noisy|topic|date|time,1,0,,4237.643,need|dma|colton|meeting|gathering|get together|socialize|networking|community|volunteer|service|outreach|nonprofit,2026-04-01,2026-04-30,19:00,20:00,https://unl.campuslabs.com/engage/event/12378390|https://unl.campuslabs.com/engage/event/12378425|https://unl.campuslabs.com/engage/event/12026669|https://unl.campuslabs.com/engage/event/12026670|https://unl.campuslabs.com/engage/event/12302854|https://events.unl.edu/2026/04/26/197326/|https://unl.campuslabs.com/engage/event/12425477|https://unl.campuslabs.com/engage/event/12426432|https://events.unl.edu/2026/04/24/199185/|https://events.unl.edu/2026/04/28/198995/,dma|colton|schaefer,2026-04-01,2026-04-01,19:30,21:30,https://events.unl.edu/2026/04/01/197709/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-003C,LOOKING FOR DMA COLTON EVENT,noisy|topic,1,0,,3068.032,dma|colton,2026-04-30,2026-04-30,,,,dma|colton|schaefer,,,,,https://events.unl.edu/2026/04/01/197709/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-004A,hey any house observatory events on 2026-04-01?,noisy|topic|date,1,0,,3053.621,house|observatory,2026-04-01,2026-04-30,,,https://events.unl.edu/2026/04/22/196703/|https://events.unl.edu/2026/04/22/198261/|https://events.unl.edu/2026/04/29/198261/|https://unl.campuslabs.com/engage/event/12434933|https://events.unl.edu/2026/04/21/198812/|https://events.unl.edu/2026/04/22/198967/|https://events.unl.edu/2026/04/22/199288/|https://events.unl.edu/2026/04/22/198721/|https://events.unl.edu/2026/04/29/198787/|https://events.unl.edu/2026/04/29/198721/,house|observatory,2026-04-01,2026-04-01,,,https://events.unl.edu/2026/04/01/196699/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-004B,need house observatory 2026-04-01 around 21:00,noisy|topic|date|time,1,0,,3732.939,house|observatory|need|home|residence|dwelling|abode|accommodation|lodging|housing|real estate|property|estate|neighborhood|community|local,2026-04-01,2026-04-30,21:00,,https://events.unl.edu/2026/04/22/196703/|https://unl.campuslabs.com/engage/event/11380667|https://events.unl.edu/2026/04/28/199251/|https://unl.campuslabs.com/engage/event/12419315|https://unl.campuslabs.com/engage/event/11944492|https://unl.campuslabs.com/engage/event/12052792|https://unl.campuslabs.com/engage/event/11906751|https://unl.campuslabs.com/engage/event/12410896|https://unl.campuslabs.com/engage/event/12073192|https://unl.campuslabs.com/engage/event/11977941,house|observatory,2026-04-01,2026-04-01,21:00,23:00,https://events.unl.edu/2026/04/01/196699/
ollama:llama3:latest,ollama,llama3:latest,RIG-RBS-004C,LOOKING FOR HOUSE OBSERVATORY EVENT,noisy|topic,1,0,,3405.195,house|observatory|astronomy|stargazing|planetarium|space|cosmos|university|campus|community|public|free|open,2026-04-30,2026-04-30,,,https://events.unl.edu/2026/04/30/197926/|https://events.unl.edu/2026/04/30/198743/|https://events.unl.edu/2026/04/30/190663/|https://events.unl.edu/2026/04/30/198813/|https://events.unl.edu/2026/04/30/199209/|https://unl.campuslabs.com/engage/event/12110573|https://events.unl.edu/2026/04/30/190101/|https://events.unl.edu/2026/04/30/198773/|https://unl.campuslabs.com/engage/event/12173131|https://unl.campuslabs.com/engage/event/11901082,house|observatory,,,,,https://events.unl.edu/2026/04/01/196699/
